user_id,total_emails,total_attachments,avg_email_size,max_recipients,total_file_actions,total_to_rem,total_from_rem,total_uses_rem,avg_file_size,total_device_actions,total_logons,anomaly
AAB0162,2111,359,526.8455708195169,7,30.0,0.0,0.0,0.0,528.1666666666666,0.0,711.0,normal
AAB0398,2558,836,564.0824863174355,6,36.0,0.0,0.0,0.0,456.8888888888889,0.0,712.0,normal
AAC0610,707,261,540.059405940594,6,1851.0,604.0,1056.0,1660.0,568.6866558616964,700.0,1052.0,normal
AAC0668,2085,468,529.9467625899281,6,62.0,0.0,0.0,0.0,556.2258064516129,0.0,712.0,normal
AAC3270,231,118,555.9264069264069,6,8.0,0.0,0.0,0.0,757.875,0.0,712.0,normal
AAD2188,230,60,560.0347826086957,6,7.0,0.0,0.0,0.0,513.2857142857143,0.0,712.0,normal
AAD3030,3229,950,563.1502013007123,7,211.0,0.0,0.0,0.0,750.7725118483412,0.0,712.0,normal
AAF0819,2100,711,574.2957142857143,6,3409.0,1036.0,2003.0,3039.0,536.511293634497,2056.0,1052.0,anomaly
AAF3937,231,85,551.0995670995671,6,10.0,0.0,0.0,0.0,353.3,0.0,712.0,normal
AAG1447,2097,230,523.8111587982833,7,0.0,0.0,0.0,0.0,0.0,0.0,712.0,normal
AAG3799,3459,472,520.4001156403585,6,0.0,0.0,0.0,0.0,0.0,0.0,711.0,normal
AAH0721,2092,427,507.9799235181644,7,79.0,0.0,0.0,0.0,401.1392405063291,0.0,712.0,normal
AAM0138,2578,327,548.6714507370054,7,0.0,0.0,0.0,0.0,0.0,0.0,712.0,normal
AAM0729,706,149,538.4050991501416,6,16.0,0.0,0.0,0.0,614.6875,0.0,712.0,normal
AAP0352,2114,635,505.23462630085146,7,699.0,219.0,373.0,592.0,525.1258941344778,1420.0,754.0,normal
AAP1919,2339,407,553.9692176143651,6,439.0,144.0,245.0,389.0,538.3416856492028,6159.0,906.0,normal
AAP1942,2076,593,555.2557803468208,6,66.0,0.0,0.0,0.0,724.0,0.0,986.0,normal
AAR0641,2112,678,548.0880681818181,6,79.0,0.0,0.0,0.0,702.6962025316456,0.0,712.0,normal
AAS0144,2044,205,525.8028375733855,7,0.0,0.0,0.0,0.0,0.0,0.0,712.0,normal
AAS2987,694,277,521.178674351585,7,149.0,0.0,0.0,0.0,668.9664429530201,0.0,712.0,normal
AAS3428,4667,1254,523.8140132847653,7,170.0,0.0,0.0,0.0,475.16470588235296,0.0,1352.0,normal
AAT2913,688,130,548.4476744186046,6,0.0,0.0,0.0,0.0,0.0,0.0,576.0,normal
AAV3669,236,106,525.9194915254237,6,21.0,0.0,0.0,0.0,634.3333333333334,0.0,712.0,normal
AAW0894,238,116,568.4033613445379,6,16.0,0.0,0.0,0.0,448.6875,0.0,1159.0,normal
ABB0167,1281,267,534.8938329430133,7,27.0,0.0,0.0,0.0,514.7407407407408,0.0,296.0,normal
ABB0300,255,107,575.2235294117647,6,14.0,0.0,0.0,0.0,855.0,0.0,836.0,normal
ABC3523,2110,409,571.2009478672986,7,6.0,0.0,0.0,0.0,530.5,0.0,712.0,normal
ABD3426,4543,1241,546.6601364736958,7,11434.0,3936.0,6472.0,10408.0,569.6794647542417,7979.0,1511.0,anomaly
ABE2352,710,150,542.9929577464789,7,9.0,0.0,0.0,0.0,659.6666666666666,0.0,712.0,normal
ABG2353,696,248,521.955459770115,6,16.0,0.0,0.0,0.0,651.8125,0.0,712.0,normal
ABG3605,2090,572,520.7325358851674,7,64.0,0.0,0.0,0.0,535.96875,0.0,712.0,normal
ABH0349,232,50,542.198275862069,6,2230.0,591.0,1396.0,1987.0,562.1188340807175,247.0,1106.0,normal
ABH1181,2082,449,513.651777137368,7,73.0,0.0,0.0,0.0,535.3561643835617,0.0,711.0,normal
ABH2671,2102,282,534.0532825880114,7,0.0,0.0,0.0,0.0,0.0,0.0,712.0,normal
ABJ0281,932,226,531.6330472103004,6,12.0,0.0,0.0,0.0,443.6666666666667,0.0,208.0,normal
ABK0481,97,40,563.1546391752578,6,5.0,0.0,0.0,0.0,552.6,0.0,68.0,normal
ABK3081,2493,810,562.3088648215002,7,671.0,199.0,398.0,597.0,558.467958271237,336.0,1434.0,normal
ABL0870,234,63,578.4786324786324,6,5.0,0.0,0.0,0.0,654.0,0.0,712.0,normal
ABM3203,2541,594,535.926800472255,6,405.0,0.0,0.0,0.0,501.7851851851852,0.0,927.0,normal
ABM3641,334,193,537.9491017964071,6,42.0,0.0,0.0,0.0,622.3095238095239,0.0,1354.0,normal
ABM3687,212,107,508.64622641509436,6,4925.0,1605.0,2867.0,4472.0,541.8148223350254,878.0,758.0,anomaly
ABM3772,3686,1266,552.3844275637548,6,1114.0,337.0,604.0,941.0,558.1660682226212,1421.0,1129.0,normal
ABM3776,3501,589,528.6666666666666,6,21.0,0.0,0.0,0.0,579.3809523809524,0.0,712.0,normal
ABO1173,2105,549,516.8598574821852,7,1395.0,263.0,611.0,874.0,458.3827956989247,790.0,1146.0,normal
ABP2003,2080,426,525.4048076923077,7,42.0,0.0,0.0,0.0,521.5,0.0,712.0,normal
ABP2917,821,312,555.2594397076736,6,2160.0,733.0,1232.0,1965.0,495.375,966.0,1168.0,normal
ABR0397,703,143,563.8463726884779,7,117.0,36.0,65.0,101.0,546.8034188034188,253.0,1221.0,normal
ABS0677,2095,729,554.2267303102625,7,488.0,0.0,0.0,0.0,579.6946721311475,0.0,1021.0,normal
ABW0501,2101,326,552.7729652546407,6,16.0,0.0,0.0,0.0,666.5,0.0,712.0,normal
ACA0360,1175,246,547.7557446808511,6,22.0,0.0,0.0,0.0,617.7272727272727,0.0,712.0,normal
ACA3252,231,43,558.025974025974,6,0.0,0.0,0.0,0.0,0.0,0.0,712.0,normal
ACB0701,753,239,522.2908366533865,6,673.0,212.0,219.0,431.0,513.627043090639,794.0,1133.0,normal
ACB3123,2107,580,507.67062173706694,7,341.0,0.0,0.0,0.0,490.10557184750735,0.0,1213.0,normal
ACC2773,2113,618,539.2044486512068,6,107.0,0.0,0.0,0.0,649.2242990654206,0.0,712.0,normal
ACF1806,1134,357,570.5908289241622,6,2800.0,951.0,1586.0,2537.0,536.8328571428572,2041.0,325.0,anomaly
ACG0312,235,122,581.0340425531915,5,20.0,0.0,0.0,0.0,903.3,0.0,966.0,normal
ACG3819,788,269,557.480964467005,7,912.0,272.0,523.0,795.0,562.4671052631579,876.0,1283.0,normal
ACH0008,6269,1033,523.6090285531983,7,0.0,0.0,0.0,0.0,0.0,0.0,712.0,normal
ACH1405,2102,248,498.9348239771646,7,0.0,0.0,0.0,0.0,0.0,0.0,712.0,normal
ACH1910,2554,894,536.7384494909945,6,127.0,0.0,0.0,0.0,441.1968503937008,0.0,1441.0,normal
ACH2102,2095,393,579.235322195704,7,19.0,0.0,0.0,0.0,453.7894736842105,0.0,712.0,normal
ACJ0014,4211,1005,552.1507955355023,7,89.0,0.0,0.0,0.0,682.9101123595506,0.0,712.0,normal
